id_participant,condition,uncertaintyCondition,backgroundCondition,experiment_phase,round,trial,correct,completed_by,reaction_time,category,category_selected,category_id,category_selected_id,trained,iti_trial,previous_category_id,previous_category,selected_id,current_position_entity_selected_x,current_position_entity_selected_y,selected_entity_category_id,selected_entity_category,changed_entity_id,changed_entity_category_id,changed_entity_category,current_position_entity_changed_x,current_position_entity_changed_y,first_round,second_round,no_change,from_category_id,to_category_id,selected_entity_id,HOSTILE_entities,NEUTRAL_entities,PENDING_entities,UNKNOWN_entities,FRIEND_entities,ASSUMED_FRIEND_entities,ASSUMED_HOSTILE_entities,UNCERTAIN_FRIEND_entities,UNCERTAIN_HOSTILE_entities,total_entities_second_round
1,control_black,control,black,categoryLearning,,1,1,CLICKED,3292,FRIEND,FRIEND,2,2,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,2,1,CLICKED,1853,HOSTILE,HOSTILE,4,4,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,3,0,CLICKED,1366,UNKNOWN,NEUTRAL,1,3,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,4,1,CLICKED,823,NEUTRAL,NEUTRAL,3,3,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,5,0,TIMEOUT,,UNKNOWN,,1,,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,6,1,CLICKED,1215,NEUTRAL,NEUTRAL,3,3,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,7,1,CLICKED,1265,HOSTILE,HOSTILE,4,4,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,8,1,CLICKED,1247,FRIEND,FRIEND,2,2,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,9,1,CLICKED,1009,UNKNOWN,UNKNOWN,1,1,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,categoryLearning,,10,1,CLICKED,1698,HOSTILE,HOSTILE,4,4,1,,,"",,,,,"",,,"",,,,,,,,,,,,,,,,,,
1,control_black,control,black,practiceMonitoring,,1,1,CLICKED,1105,"","",,,,1961,4,HOSTILE,0,349,341,3,NEUTRAL,0,3,NEUTRAL,349,341,,,,,,,,,,,,,,,,
1,control_black,control,black,practiceMonitoring,,2,1,CLICKED,1046,"","",,,,659,3,NEUTRAL,1,328,325,1,UNKNOWN,1,1,UNKNOWN,328,325,,,,,,,,,,,,,,,,
1,control_black,control,black,practiceMonitoring,,3,1,CLICKED,1674,"","",,,,1577,1,UNKNOWN,2,355,477,2,FRIEND,2,2,FRIEND,355,477,,,,,,,,,,,,,,,,
1,control_black,control,black,monitoring,1,1,1,CLICKED,1100,"","",,,,988,6,ASSUMED_HOSTILE,,759,327,3,NEUTRAL,18,3,NEUTRAL,759,327,0,1,FALSE,6,3,18,2,3,0,6,2,6,5,0,0,24
1,control_black,control,black,monitoring,1,2,0,TIMEOUT,,"","",,,,509,3,NEUTRAL,,,,,,8,4,HOSTILE,684,125,0,1,FALSE,3,4,,3,2,0,6,2,6,5,0,0,24
1,control_black,control,black,monitoring,1,3,0,TIMEOUT,,"","",,,,736,1,UNKNOWN,,,,,,0,4,HOSTILE,696,92,0,1,FALSE,1,4,,4,2,0,5,2,6,5,0,0,24
1,control_black,control,black,monitoring,1,4,0,TIMEOUT,,"","",,,,1177,2,FRIEND,,,,,,6,3,NEUTRAL,293,575,0,1,FALSE,2,3,,4,3,0,5,1,6,5,0,0,24
1,control_black,control,black,monitoring,1,5,0,TIMEOUT,,"","",,,,607,6,ASSUMED_HOSTILE,,,,,,19,1,UNKNOWN,321,284,0,1,FALSE,6,1,,4,3,0,6,1,6,4,0,0,24
1,control_black,control,black,monitoring,1,6,0,TIMEOUT,,"","",,,,1596,3,NEUTRAL,,,,,,6,5,ASSUMED_FRIEND,266,649,0,1,FALSE,3,5,,4,2,0,6,1,7,4,0,0,24
1,control_black,control,black,monitoring,1,7,1,CLICKED,1916,"","",,,,576,1,UNKNOWN,,424,364,6,ASSUMED_HOSTILE,1,6,ASSUMED_HOSTILE,424,364,0,1,FALSE,1,6,1,4,2,0,5,1,7,5,0,0,24
1,control_black,control,black,monitoring,1,8,0,CLICKED,1961,"","",,,,1647,1,UNKNOWN,,298,579,5,ASSUMED_FRIEND,2,2,FRIEND,336,211,0,1,FALSE,1,2,16,4,2,0,4,2,7,5,0,0,24
1,control_black,control,black,monitoring,1,9,0,TIMEOUT,,"","",,,,1916,3,NEUTRAL,,,,,,9,2,FRIEND,522,200,0,1,FALSE,3,2,,4,1,0,4,3,7,5,0,0,24
1,control_black,control,black,monitoring,1,10,0,CLICKED,1269,"","",,,,1062,5,ASSUMED_FRIEND,,366,469,4,HOSTILE,6,4,HOSTILE,290,514,0,1,FALSE,5,4,11,5,1,0,4,3,6,5,0,0,24
1,control_black,control,black,monitoring,1,11,0,TIMEOUT,,"","",,,,1174,5,ASSUMED_FRIEND,,,,,,12,1,UNKNOWN,745,572,0,1,FALSE,5,1,,5,1,0,5,3,5,5,0,0,24
1,control_black,control,black,monitoring,1,12,0,TIMEOUT,,"","",,,,1263,5,ASSUMED_FRIEND,,,,,,13,2,FRIEND,350,566,0,1,FALSE,5,2,,5,1,0,5,4,4,5,0,0,24
1,control_black,control,black,monitoring,1,13,0,TIMEOUT,,"","",,,,1588,1,UNKNOWN,,,,,,3,3,NEUTRAL,596,628,0,1,FALSE,1,3,,5,2,0,4,4,4,5,0,0,24
1,control_black,control,black,monitoring,1,14,0,CLICKED,1044,"","",,,,1590,1,UNKNOWN,,422,627,3,NEUTRAL,4,6,ASSUMED_HOSTILE,183,496,0,1,FALSE,1,6,3,5,2,0,3,4,4,6,0,0,24
1,control_black,control,black,monitoring,1,15,1,CLICKED,4422,"","",,,,1226,1,UNKNOWN,,509,167,2,FRIEND,5,2,FRIEND,509,167,0,1,FALSE,1,2,5,5,2,0,2,5,4,6,0,0,24
1,control_black,control,black,monitoring,1,16,0,TIMEOUT,,"","",,,,1725,6,ASSUMED_HOSTILE,,,,,,1,4,HOSTILE,454,471,0,1,FALSE,6,4,,6,2,0,2,5,4,5,0,0,24
1,control_black,control,black,monitoring,1,17,0,TIMEOUT,,"","",,,,566,6,ASSUMED_HOSTILE,,,,,,4,5,ASSUMED_FRIEND,157,522,0,1,FALSE,6,5,,6,2,0,2,5,5,4,0,0,24
1,control_black,control,black,monitoring,1,18,1,CLICKED,1395,"","",,,,880,1,UNKNOWN,,386,464,5,ASSUMED_FRIEND,12,5,ASSUMED_FRIEND,386,464,0,1,FALSE,1,5,12,6,2,0,1,5,6,4,0,0,24
1,control_black,control,black,monitoring,1,19,0,TIMEOUT,,"","",,,,1751,1,UNKNOWN,,,,,,19,3,NEUTRAL,456,624,0,1,FALSE,1,3,,6,3,0,0,5,6,4,0,0,24
1,control_black,control,black,monitoring,1,20,0,CLICKED,282,"","",,,,1677,4,HOSTILE,,262,564,3,NEUTRAL,0,1,UNKNOWN,189,235,0,1,FALSE,4,1,18,5,3,0,1,5,6,4,0,0,24
1,control_black,control,black,monitoring,1,21,0,TIMEOUT,,"","",,,,907,5,ASSUMED_FRIEND,,,,,,4,2,FRIEND,383,528,0,1,FALSE,5,2,,5,3,0,1,6,5,4,0,0,24
1,control_black,control,black,monitoring,1,22,1,CLICKED,1941,"","",,,,1644,5,ASSUMED_FRIEND,,203,355,1,UNKNOWN,12,1,UNKNOWN,203,355,0,1,FALSE,5,1,12,5,3,0,2,6,4,4,0,0,24
1,control_black,control,black,monitoring,1,23,1,CLICKED,1595,"","",,,,1460,5,ASSUMED_FRIEND,,371,347,6,ASSUMED_HOSTILE,14,6,ASSUMED_HOSTILE,371,347,0,1,FALSE,5,6,14,5,3,0,2,6,3,5,0,0,24
1,control_black,control,black,monitoring,1,24,0,CLICKED,3319,"","",,,,1915,5,ASSUMED_FRIEND,,632,681,3,NEUTRAL,15,3,NEUTRAL,318,644,0,1,FALSE,5,3,18,5,4,0,2,6,2,5,0,0,24
1,control_black,control,black,monitoring,1,25,0,TIMEOUT,,"","",,,,1513,4,HOSTILE,,,,,,1,5,ASSUMED_FRIEND,398,442,0,1,FALSE,4,5,,4,4,0,2,6,3,5,0,0,24
1,control_black,control,black,monitoring,1,26,0,TIMEOUT,,"","",,,,944,1,UNKNOWN,,,,,,0,3,NEUTRAL,524,240,0,1,FALSE,1,3,,4,5,0,1,6,3,5,0,0,24
1,control_black,control,black,monitoring,1,27,0,TIMEOUT,,"","",,,,1582,5,ASSUMED_FRIEND,,,,,,1,6,ASSUMED_HOSTILE,472,644,0,1,FALSE,5,6,,4,5,0,1,6,2,6,0,0,24
1,control_black,control,black,monitoring,1,28,0,TIMEOUT,,"","",,,,1339,5,ASSUMED_FRIEND,,,,,,16,4,HOSTILE,180,231,0,1,FALSE,5,4,,5,5,0,1,6,1,6,0,0,24
1,control_black,control,black,monitoring,1,29,0,TIMEOUT,,"","",,,,1514,5,ASSUMED_FRIEND,,,,,,17,2,FRIEND,524,328,0,1,FALSE,5,2,,5,5,0,1,7,0,6,0,0,24
1,control_black,control,black,monitoring,1,30,0,TIMEOUT,,"","",,,,1574,6,ASSUMED_HOSTILE,,,,,,1,2,FRIEND,378,149,0,1,FALSE,6,2,,5,5,0,1,8,0,5,0,0,24
1,control_black,control,black,monitoring,2,1,0,TIMEOUT,,"","",,,,809,5,ASSUMED_FRIEND,,,,,,12,2,FRIEND,112,252,0,1,FALSE,5,2,,2,2,0,6,3,5,6,0,0,24
1,control_black,control,black,monitoring,2,2,0,CLICKED,2752,"","",,,,1489,6,ASSUMED_HOSTILE,,690,666,3,NEUTRAL,18,3,NEUTRAL,486,499,0,1,FALSE,6,3,8,2,3,0,6,3,5,5,0,0,24
1,control_black,control,black,monitoring,2,3,0,TIMEOUT,,"","",,,,1019,6,ASSUMED_HOSTILE,,,,,,19,1,UNKNOWN,55,75,0,1,FALSE,6,1,,2,3,0,7,3,5,4,0,0,24
1,control_black,control,black,monitoring,2,4,0,CLICKED,1474,"","",,,,1837,5,ASSUMED_FRIEND,,134,502,3,NEUTRAL,13,1,UNKNOWN,224,626,0,1,FALSE,5,1,9,2,3,0,8,3,4,4,0,0,24
1,control_black,control,black,monitoring,2,5,0,TIMEOUT,,"","",,,,1848,5,ASSUMED_FRIEND,,,,,,14,3,NEUTRAL,183,675,0,1,FALSE,5,3,,2,4,0,8,3,3,4,0,0,24
1,control_black,control,black,monitoring,2,6,0,TIMEOUT,,"","",,,,705,6,ASSUMED_HOSTILE,,,,,,20,4,HOSTILE,260,183,0,1,FALSE,6,4,,3,4,0,8,3,3,3,0,0,24
1,control_black,control,black,monitoring,2,7,0,TIMEOUT,,"","",,,,1860,1,UNKNOWN,,,,,,0,2,FRIEND,458,473,0,1,FALSE,1,2,,3,4,0,7,4,3,3,0,0,24
1,control_black,control,black,monitoring,2,8,0,TIMEOUT,,"","",,,,1752,1,UNKNOWN,,,,,,1,6,ASSUMED_HOSTILE,398,360,0,1,FALSE,1,6,,3,4,0,6,4,3,4,0,0,24
1,control_black,control,black,monitoring,2,9,0,TIMEOUT,,"","",,,,1296,6,ASSUMED_HOSTILE,,,,,,1,4,HOSTILE,397,285,0,1,FALSE,6,4,,4,4,0,6,4,3,3,0,0,24
1,control_black,control,black,monitoring,2,10,0,TIMEOUT,,"","",,,,1360,1,UNKNOWN,,,,,,2,4,HOSTILE,502,393,0,1,FALSE,1,4,,5,4,0,5,4,3,3,0,0,24
1,control_black,control,black,monitoring,2,11,0,TIMEOUT,,"","",,,,1122,4,HOSTILE,,,,,,1,6,ASSUMED_HOSTILE,361,323,0,1,FALSE,4,6,,4,4,0,5,4,3,4,0,0,24
1,control_black,control,black,monitoring,2,12,0,TIMEOUT,,"","",,,,1055,5,ASSUMED_FRIEND,,,,,,15,6,ASSUMED_HOSTILE,623,141,0,1,FALSE,5,6,,4,4,0,5,4,2,5,0,0,24
1,control_black,control,black,monitoring,2,13,0,TIMEOUT,,"","",,,,1278,5,ASSUMED_FRIEND,,,,,,16,3,NEUTRAL,527,690,0,1,FALSE,5,3,,4,5,0,5,4,1,5,0,0,24
1,control_black,control,black,monitoring,2,14,0,CLICKED,48,"","",,,,571,5,ASSUMED_FRIEND,,348,113,3,NEUTRAL,17,1,UNKNOWN,407,536,0,1,FALSE,5,1,9,4,5,0,6,4,0,5,0,0,24
1,control_black,control,black,monitoring,2,15,0,TIMEOUT,,"","",,,,771,6,ASSUMED_HOSTILE,,,,,,1,5,ASSUMED_FRIEND,419,300,0,1,FALSE,6,5,,4,5,0,6,4,1,4,0,0,24
1,control_black,control,black,monitoring,2,16,0,TIMEOUT,,"","",,,,1308,6,ASSUMED_HOSTILE,,,,,,15,2,FRIEND,579,300,0,1,FALSE,6,2,,4,5,0,6,5,1,3,0,0,24
1,control_black,control,black,monitoring,2,17,0,TIMEOUT,,"","",,,,1706,6,ASSUMED_HOSTILE,,,,,,21,1,UNKNOWN,293,365,0,1,FALSE,6,1,,4,5,0,7,5,1,2,0,0,24
1,control_black,control,black,monitoring,2,18,0,CLICKED,1147,"","",,,,1673,4,HOSTILE,,405,440,1,UNKNOWN,2,2,FRIEND,486,89,0,1,FALSE,4,2,21,3,5,0,7,6,1,2,0,0,24
1,control_black,control,black,monitoring,2,19,0,CLICKED,51,"","",,,,1721,6,ASSUMED_HOSTILE,,485,238,2,FRIEND,22,4,HOSTILE,260,685,0,1,FALSE,6,4,6,4,5,0,7,6,1,1,0,0,24
1,control_black,control,black,monitoring,2,20,0,TIMEOUT,,"","",,,,1263,4,HOSTILE,,,,,,10,3,NEUTRAL,298,359,0,1,FALSE,4,3,,3,6,0,7,6,1,1,0,0,24
1,control_black,control,black,monitoring,2,21,0,TIMEOUT,,"","",,,,1058,6,ASSUMED_HOSTILE,,,,,,23,5,ASSUMED_FRIEND,306,618,0,1,FALSE,6,5,,3,6,0,7,6,2,0,0,0,24
