id_participant,type,category_learning_trial,condition_experiment,tick,completed_by,participant_id,starting_time_trial,finishing_time_trial,reaction_time,category,category_id,category_selected,category_selected_id,correct,trained,practice_trial,iti_trial,previous_category_id,previous_category,selected_id,current_position_entity_selected_x,current_position_entity_selected_y,selected_entity_category_id,selected_entity_category,changed_entity_id,changed_entity_category_id,changed_entity_category,current_position_entity_changed_x,current_position_entity_changed_y,first_round,second_round,monitoring_trial,trial_no_change,from_category_id,to_category_id,selected_entity_id,HOSTILE_entities,NEUTRAL_entities,PENDING_entities,UNKNOWN_entities,FRIEND_entities,ASSUMED_FRIEND_entities,ASSUMED_HOSTILE_entities,UNCERTAIN_FRIEND_entities,UNCERTAIN_HOSTILE_entities,total_entities_second_round,round
2,complete_category_learning_trial,1.0,1,325,TIMEOUT,2,1606821837005,NA,NA,NEUTRAL,3.0,NA,NA,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,2.0,1,444,CLICKED,2,1606821842513,1606821844917,2404,HOSTILE,4.0,HOSTILE,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,3.0,1,649,CLICKED,2,1606821846954,1606821849020,2066,UNKNOWN,1.0,NEUTRAL,3,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,4.0,1,878,CLICKED,2,1606821851052,1606821853588,2536,FRIEND,2.0,NEUTRAL,3,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,5.0,1,1059,CLICKED,2,1606821855608,1606821857212,1604,HOSTILE,4.0,HOSTILE,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,6.0,1,1258,CLICKED,2,1606821859226,1606821861205,1979,FRIEND,2.0,UNKNOWN,1,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,7.0,1,1451,CLICKED,2,1606821863225,1606821865055,1830,NEUTRAL,3.0,FRIEND,2,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,8.0,1,1715,CLICKED,2,1606821867092,1606821870328,3236,UNKNOWN,1.0,NEUTRAL,3,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,9.0,1,1905,CLICKED,2,1606821872353,1606821874125,1772,UNKNOWN,1.0,UNKNOWN,1,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,10.0,1,2079,CLICKED,2,1606821876153,1606821877616,1463,HOSTILE,4.0,HOSTILE,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,11.0,1,2250,CLICKED,2,1606821879649,1606821881043,1394,FRIEND,2.0,FRIEND,2,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,12.0,1,2417,CLICKED,2,1606821883071,1606821884381,1310,NEUTRAL,3.0,NEUTRAL,3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,13.0,1,2621,CLICKED,2,1606821886404,1606821888461,2057,FRIEND,2.0,FRIEND,2,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,14.0,1,2802,CLICKED,2,1606821890485,1606821892076,1591,HOSTILE,4.0,HOSTILE,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,15.0,1,3014,CLICKED,2,1606821894109,1606821896316,2207,NEUTRAL,3.0,NEUTRAL,3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,complete_category_learning_trial,16.0,1,3189,CLICKED,2,1606821898351,1606821899809,1458,UNKNOWN,1.0,UNKNOWN,1,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,1.0,1,325,TIMEOUT,3,1606821927611,NA,NA,HOSTILE,4.0,NA,NA,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,2.0,1,456,CLICKED,3,1606821933114,1606821935739,2625,FRIEND,2.0,FRIEND,2,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,3.0,1,628,CLICKED,3,1606821937751,1606821939179,1428,UNKNOWN,1.0,NEUTRAL,3,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,4.0,1,788,CLICKED,3,1606821941190,1606821942387,1197,NEUTRAL,3.0,NEUTRAL,3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,5.0,1,936,CLICKED,3,1606821944391,1606821945347,956,NEUTRAL,3.0,NEUTRAL,3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,6.0,1,1087,CLICKED,3,1606821947351,1606821948355,1004,HOSTILE,4.0,HOSTILE,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,7.0,1,1257,CLICKED,3,1606821950370,1606821951763,1393,FRIEND,2.0,UNKNOWN,1,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,8.0,1,1422,CLICKED,3,1606821953770,1606821955067,1297,UNKNOWN,1.0,UNKNOWN,1,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,9.0,1,1575,CLICKED,3,1606821957071,1606821958123,1052,UNKNOWN,1.0,UNKNOWN,1,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,10.0,1,1722,CLICKED,3,1606821960130,1606821961067,937,HOSTILE,4.0,HOSTILE,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,complete_category_learning_trial,11.0,1,1875,CLICKED,3,1606821963070,1606821964115,1045,FRIEND,2.0,FRIEND,2,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,1.0,2,267,CLICKED,4,1606827073984,1606827080515,1531,ASSUMED_HOSTILE,6.0,UNKNOWN,1,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,2.0,2,600,TIMEOUT,4,1606827082549,NA,NA,FRIEND,2.0,NA,NA,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,3.0,2,701,CLICKED,4,1606827090561,1606827093507,2946,ASSUMED_FRIEND,5.0,ASSUMED_FRIEND,5,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,4.0,2,836,CLICKED,4,1606827095532,1606827097492,1960,HOSTILE,4.0,FRIEND,2,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,5.0,2,974,CLICKED,4,1606827099519,1606827101461,1942,NEUTRAL,3.0,NEUTRAL,3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,6.0,2,1105,CLICKED,4,1606827103519,1606827105329,1810,UNKNOWN,1.0,UNKNOWN,1,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,7.0,2,1237,CLICKED,4,1606827107369,1606827109265,1896,FRIEND,2.0,HOSTILE,4,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,8.0,2,1362,CLICKED,4,1606827111290,1606827112976,1686,UNKNOWN,1.0,NEUTRAL,3,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,9.0,2,1506,CLICKED,4,1606827115017,1606827117265,2248,ASSUMED_HOSTILE,6.0,ASSUMED_FRIEND,5,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,10.0,2,1649,CLICKED,4,1606827119307,1606827121453,2146,NEUTRAL,3.0,NEUTRAL,3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,11.0,2,1832,CLICKED,4,1606827123499,1606827126804,3305,ASSUMED_FRIEND,5.0,FRIEND,2,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,12.0,2,2001,CLICKED,4,1606827128832,1606827131876,3044,HOSTILE,4.0,ASSUMED_FRIEND,5,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,13.0,2,2130,CLICKED,4,1606827133919,1606827135570,1651,NEUTRAL,3.0,NEUTRAL,3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,14.0,2,2258,CLICKED,4,1606827137590,1606827139429,1839,UNKNOWN,1.0,UNKNOWN,1,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,15.0,2,2496,CLICKED,4,1606827141457,1606827146445,4988,ASSUMED_FRIEND,5.0,ASSUMED_FRIEND,5,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,16.0,2,2633,CLICKED,4,1606827148494,1606827150492,1998,HOSTILE,4.0,HOSTILE,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,17.0,2,2783,CLICKED,4,1606827152512,1606827154913,2401,FRIEND,2.0,FRIEND,2,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,18.0,2,2910,CLICKED,4,1606827156954,1606827158741,1787,ASSUMED_HOSTILE,6.0,ASSUMED_HOSTILE,6,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,19.0,2,3245,TIMEOUT,4,1606827160780,NA,NA,ASSUMED_HOSTILE,6.0,NA,NA,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,20.0,2,3311,CLICKED,4,1606827168990,1606827170946,1956,FRIEND,2.0,FRIEND,2,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,complete_category_learning_trial,21.0,2,3447,CLICKED,4,1606827172974,1606827175054,2080,NEUTRAL,3.0,NEUTRAL,3,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,complete_category_learning_trial,1.0,2,325,TIMEOUT,5,1606827241590,NA,NA,ASSUMED_HOSTILE,6.0,NA,NA,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,complete_category_learning_trial,2.0,2,549,CLICKED,5,1606827247143,1606827251612,4469,HOSTILE,4.0,HOSTILE,4,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,complete_category_learning_trial,3.0,2,783,CLICKED,5,1606827253651,1606827256303,2652,ASSUMED_FRIEND,5.0,ASSUMED_HOSTILE,6,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
